id,manifest,num,book_name,册序
4918802,https://www.digital.archives.go.jp/api/iiif/4918802/manifest.json,305-0107,經驗濟世良方,9
4220609,https://www.digital.archives.go.jp/api/iiif/4220609/manifest.json,300-0217,醫壘元戎,3
4220610,https://www.digital.archives.go.jp/api/iiif/4220610/manifest.json,300-0217,醫壘元戎,4
4220611,https://www.digital.archives.go.jp/api/iiif/4220611/manifest.json,300-0217,醫壘元戎,5
4220612,https://www.digital.archives.go.jp/api/iiif/4220612/manifest.json,300-0217,醫壘元戎,6
4220613,https://www.digital.archives.go.jp/api/iiif/4220613/manifest.json,300-0217,醫壘元戎,7
4220614,https://www.digital.archives.go.jp/api/iiif/4220614/manifest.json,300-0217,醫壘元戎,8
4220615,https://www.digital.archives.go.jp/api/iiif/4220615/manifest.json,300-0217,醫壘元戎,9
4220616,https://www.digital.archives.go.jp/api/iiif/4220616/manifest.json,300-0217,醫壘元戎,10
4220617,https://www.digital.archives.go.jp/api/iiif/4220617/manifest.json,300-0217,醫壘元戎,11
4220618,https://www.digital.archives.go.jp/api/iiif/4220618/manifest.json,300-0217,醫壘元戎,12
4770285,https://www.digital.archives.go.jp/api/iiif/4770285/manifest.json,301-0105,雲林醫聖普渡慈航,1
4770288,https://www.digital.archives.go.jp/api/iiif/4770288/manifest.json,301-0105,雲林醫聖普渡慈航,2
4770290,https://www.digital.archives.go.jp/api/iiif/4770290/manifest.json,301-0105,雲林醫聖普渡慈航,3
4770291,https://www.digital.archives.go.jp/api/iiif/4770291/manifest.json,301-0105,雲林醫聖普渡慈航,4
4770293,https://www.digital.archives.go.jp/api/iiif/4770293/manifest.json,301-0105,雲林醫聖普渡慈航,5
4770295,https://www.digital.archives.go.jp/api/iiif/4770295/manifest.json,301-0105,雲林醫聖普渡慈航,6
4770297,https://www.digital.archives.go.jp/api/iiif/4770297/manifest.json,301-0105,雲林醫聖普渡慈航,7
4770298,https://www.digital.archives.go.jp/api/iiif/4770298/manifest.json,301-0105,雲林醫聖普渡慈航,8
4770301,https://www.digital.archives.go.jp/api/iiif/4770301/manifest.json,301-0105,雲林醫聖普渡慈航,9
4770304,https://www.digital.archives.go.jp/api/iiif/4770304/manifest.json,301-0105,雲林醫聖普渡慈航,10
4770305,https://www.digital.archives.go.jp/api/iiif/4770305/manifest.json,301-0105,雲林醫聖普渡慈航,11
4770308,https://www.digital.archives.go.jp/api/iiif/4770308/manifest.json,301-0105,雲林醫聖普渡慈航,12
4770318,https://www.digital.archives.go.jp/api/iiif/4770318/manifest.json,301-0120,醫宗粹言,1
4770320,https://www.digital.archives.go.jp/api/iiif/4770320/manifest.json,301-0120,醫宗粹言,2
4770323,https://www.digital.archives.go.jp/api/iiif/4770323/manifest.json,301-0120,醫宗粹言,3
4770325,https://www.digital.archives.go.jp/api/iiif/4770325/manifest.json,301-0120,醫宗粹言,4
4770327,https://www.digital.archives.go.jp/api/iiif/4770327/manifest.json,301-0120,醫宗粹言,5
4770328,https://www.digital.archives.go.jp/api/iiif/4770328/manifest.json,301-0120,醫宗粹言,6
4770330,https://www.digital.archives.go.jp/api/iiif/4770330/manifest.json,301-0120,醫宗粹言,7
4770332,https://www.digital.archives.go.jp/api/iiif/4770332/manifest.json,301-0120,醫宗粹言,8
4770335,https://www.digital.archives.go.jp/api/iiif/4770335/manifest.json,301-0120,醫宗粹言,9
4770337,https://www.digital.archives.go.jp/api/iiif/4770337/manifest.json,301-0120,醫宗粹言,10
4770342,https://www.digital.archives.go.jp/api/iiif/4770342/manifest.json,301-0120,醫宗粹言,11
4770338,https://www.digital.archives.go.jp/api/iiif/4770338/manifest.json,301-0120,醫宗粹言,12
4914939,https://www.digital.archives.go.jp/api/iiif/4914939/manifest.json,301-0121,醫宗粹言,1
4914940,https://www.digital.archives.go.jp/api/iiif/4914940/manifest.json,301-0121,醫宗粹言,2
4914941,https://www.digital.archives.go.jp/api/iiif/4914941/manifest.json,301-0121,醫宗粹言,3
4914942,https://www.digital.archives.go.jp/api/iiif/4914942/manifest.json,301-0121,醫宗粹言,4
4914943,https://www.digital.archives.go.jp/api/iiif/4914943/manifest.json,301-0121,醫宗粹言,5
4914944,https://www.digital.archives.go.jp/api/iiif/4914944/manifest.json,301-0121,醫宗粹言,6
4914945,https://www.digital.archives.go.jp/api/iiif/4914945/manifest.json,301-0121,醫宗粹言,7
4914946,https://www.digital.archives.go.jp/api/iiif/4914946/manifest.json,301-0121,醫宗粹言,8
4914947,https://www.digital.archives.go.jp/api/iiif/4914947/manifest.json,301-0121,醫宗粹言,9
4914948,https://www.digital.archives.go.jp/api/iiif/4914948/manifest.json,301-0121,醫宗粹言,10
4914949,https://www.digital.archives.go.jp/api/iiif/4914949/manifest.json,301-0121,醫宗粹言,11
4914950,https://www.digital.archives.go.jp/api/iiif/4914950/manifest.json,301-0121,醫宗粹言,12
4915188,https://www.digital.archives.go.jp/api/iiif/4915188/manifest.json,302-0065,醫級,1
