id,manifest,num
4763227,https://www.digital.archives.go.jp/api/iiif/4763227/manifest.json,254-0003
4763229,https://www.digital.archives.go.jp/api/iiif/4763229/manifest.json,254-0003
4763232,https://www.digital.archives.go.jp/api/iiif/4763232/manifest.json,254-0003
4763234,https://www.digital.archives.go.jp/api/iiif/4763234/manifest.json,254-0003
4763236,https://www.digital.archives.go.jp/api/iiif/4763236/manifest.json,254-0003
4763238,https://www.digital.archives.go.jp/api/iiif/4763238/manifest.json,254-0003
4763239,https://www.digital.archives.go.jp/api/iiif/4763239/manifest.json,254-0003
4763240,https://www.digital.archives.go.jp/api/iiif/4763240/manifest.json,254-0003
4763241,https://www.digital.archives.go.jp/api/iiif/4763241/manifest.json,254-0003
4763242,https://www.digital.archives.go.jp/api/iiif/4763242/manifest.json,254-0003
4763244,https://www.digital.archives.go.jp/api/iiif/4763244/manifest.json,254-0003
4763246,https://www.digital.archives.go.jp/api/iiif/4763246/manifest.json,254-0003
4763248,https://www.digital.archives.go.jp/api/iiif/4763248/manifest.json,254-0003
4763250,https://www.digital.archives.go.jp/api/iiif/4763250/manifest.json,254-0003
4763252,https://www.digital.archives.go.jp/api/iiif/4763252/manifest.json,254-0003
4763254,https://www.digital.archives.go.jp/api/iiif/4763254/manifest.json,254-0003
4763256,https://www.digital.archives.go.jp/api/iiif/4763256/manifest.json,254-0003
4763257,https://www.digital.archives.go.jp/api/iiif/4763257/manifest.json,254-0003
4763259,https://www.digital.archives.go.jp/api/iiif/4763259/manifest.json,254-0003
4763260,https://www.digital.archives.go.jp/api/iiif/4763260/manifest.json,254-0003
4763261,https://www.digital.archives.go.jp/api/iiif/4763261/manifest.json,254-0003
4763262,https://www.digital.archives.go.jp/api/iiif/4763262/manifest.json,254-0003
4763264,https://www.digital.archives.go.jp/api/iiif/4763264/manifest.json,254-0003
4763266,https://www.digital.archives.go.jp/api/iiif/4763266/manifest.json,254-0003
4763268,https://www.digital.archives.go.jp/api/iiif/4763268/manifest.json,254-0003
