id,manifest,num,pages
5390068,https://www.digital.archives.go.jp/api/iiif/5390068/manifest.json,367-0042,137
5390480,https://www.digital.archives.go.jp/api/iiif/5390480/manifest.json,367-0064,137
4500876,https://www.digital.archives.go.jp/api/iiif/4500876/manifest.json,188-0001,136
4422919,https://www.digital.archives.go.jp/api/iiif/4422919/manifest.json,197-0012,136
4775088,https://www.digital.archives.go.jp/api/iiif/4775088/manifest.json,304-0299,136
3949720,https://www.digital.archives.go.jp/api/iiif/3949720/manifest.json,366-0033,136
5389637,https://www.digital.archives.go.jp/api/iiif/5389637/manifest.json,367-0008,136
5390370,https://www.digital.archives.go.jp/api/iiif/5390370/manifest.json,367-0052,136
4408556,https://www.digital.archives.go.jp/api/iiif/4408556/manifest.json,006-0002,135
4478697,https://www.digital.archives.go.jp/api/iiif/4478697/manifest.json,132-0005,135
4770132,https://www.digital.archives.go.jp/api/iiif/4770132/manifest.json,301-0041,135
4916228,https://www.digital.archives.go.jp/api/iiif/4916228/manifest.json,303-0001,135
3895695,https://www.digital.archives.go.jp/api/iiif/3895695/manifest.json,304-0289,135
3323263,https://www.digital.archives.go.jp/api/iiif/3323263/manifest.json,366-0081,135
4261771,https://www.digital.archives.go.jp/api/iiif/4261771/manifest.json,367-0050,135
4262744,https://www.digital.archives.go.jp/api/iiif/4262744/manifest.json,370-0012,135
4408718,https://www.digital.archives.go.jp/api/iiif/4408718/manifest.json,015-0006,134
4452448,https://www.digital.archives.go.jp/api/iiif/4452448/manifest.json,115-0001,134
4458168,https://www.digital.archives.go.jp/api/iiif/4458168/manifest.json,130-0001,134
4501481,https://www.digital.archives.go.jp/api/iiif/4501481/manifest.json,135-0011,134
4106969,https://www.digital.archives.go.jp/api/iiif/4106969/manifest.json,300-0193,134
3671506,https://www.digital.archives.go.jp/api/iiif/3671506/manifest.json,306-0145,134
3669738,https://www.digital.archives.go.jp/api/iiif/3669738/manifest.json,308-0074,134
5056808,https://www.digital.archives.go.jp/api/iiif/5056808/manifest.json,363-0238,134
3974375,https://www.digital.archives.go.jp/api/iiif/3974375/manifest.json,366-0078,134
4270250,https://www.digital.archives.go.jp/api/iiif/4270250/manifest.json,366-0089,134
5390070,https://www.digital.archives.go.jp/api/iiif/5390070/manifest.json,367-0042,134
5390621,https://www.digital.archives.go.jp/api/iiif/5390621/manifest.json,367-0079,134
4432603,https://www.digital.archives.go.jp/api/iiif/4432603/manifest.json,019-0007,133
4489608,https://www.digital.archives.go.jp/api/iiif/4489608/manifest.json,126-0002,133
4499226,https://www.digital.archives.go.jp/api/iiif/4499226/manifest.json,135-0007,133
4498464,https://www.digital.archives.go.jp/api/iiif/4498464/manifest.json,193-0013,133
4916355,https://www.digital.archives.go.jp/api/iiif/4916355/manifest.json,303-0001,133
4766869,https://www.digital.archives.go.jp/api/iiif/4766869/manifest.json,310-0008,133
3672781,https://www.digital.archives.go.jp/api/iiif/3672781/manifest.json,364-0067,133
5064766,https://www.digital.archives.go.jp/api/iiif/5064766/manifest.json,366-0027,133
3322640,https://www.digital.archives.go.jp/api/iiif/3322640/manifest.json,366-0081,133
3326517,https://www.digital.archives.go.jp/api/iiif/3326517/manifest.json,367-0051,133
4407338,https://www.digital.archives.go.jp/api/iiif/4407338/manifest.json,001-0004,132
3745555,https://www.digital.archives.go.jp/api/iiif/3745555/manifest.json,121-0002,132
4478692,https://www.digital.archives.go.jp/api/iiif/4478692/manifest.json,132-0005,132
1076800,https://www.digital.archives.go.jp/api/iiif/1076800/manifest.json,193-0002,132
1075653,https://www.digital.archives.go.jp/api/iiif/1075653/manifest.json,305-0207,132
4770942,https://www.digital.archives.go.jp/api/iiif/4770942/manifest.json,308-0061,132
5065362,https://www.digital.archives.go.jp/api/iiif/5065362/manifest.json,366-0080,132
4270254,https://www.digital.archives.go.jp/api/iiif/4270254/manifest.json,366-0089,132
5390425,https://www.digital.archives.go.jp/api/iiif/5390425/manifest.json,367-0055,132
4414884,https://www.digital.archives.go.jp/api/iiif/4414884/manifest.json,059-0011,131
4496200,https://www.digital.archives.go.jp/api/iiif/4496200/manifest.json,132-0005,131
4500934,https://www.digital.archives.go.jp/api/iiif/4500934/manifest.json,188-0001,131
4108700,https://www.digital.archives.go.jp/api/iiif/4108700/manifest.json,301-0020,131
4916339,https://www.digital.archives.go.jp/api/iiif/4916339/manifest.json,303-0001,131
4919563,https://www.digital.archives.go.jp/api/iiif/4919563/manifest.json,306-0199,131
3669754,https://www.digital.archives.go.jp/api/iiif/3669754/manifest.json,308-0074,131
5064785,https://www.digital.archives.go.jp/api/iiif/5064785/manifest.json,366-0032,131
5065466,https://www.digital.archives.go.jp/api/iiif/5065466/manifest.json,366-0083,131
5389656,https://www.digital.archives.go.jp/api/iiif/5389656/manifest.json,367-0008,131
3326788,https://www.digital.archives.go.jp/api/iiif/3326788/manifest.json,367-0051,131
4418077,https://www.digital.archives.go.jp/api/iiif/4418077/manifest.json,017-0012,130
3745367,https://www.digital.archives.go.jp/api/iiif/3745367/manifest.json,121-0002,130
4758358,https://www.digital.archives.go.jp/api/iiif/4758358/manifest.json,126-0003,130
4487176,https://www.digital.archives.go.jp/api/iiif/4487176/manifest.json,135-0011,130
4423843,https://www.digital.archives.go.jp/api/iiif/4423843/manifest.json,197-0012,130
4772256,https://www.digital.archives.go.jp/api/iiif/4772256/manifest.json,305-0267,130
3669505,https://www.digital.archives.go.jp/api/iiif/3669505/manifest.json,307-0245,130
5063364,https://www.digital.archives.go.jp/api/iiif/5063364/manifest.json,365-0011,130
3323124,https://www.digital.archives.go.jp/api/iiif/3323124/manifest.json,366-0081,130
5065462,https://www.digital.archives.go.jp/api/iiif/5065462/manifest.json,366-0083,130
4270258,https://www.digital.archives.go.jp/api/iiif/4270258/manifest.json,366-0089,130
3326229,https://www.digital.archives.go.jp/api/iiif/3326229/manifest.json,367-0051,130
4219693,https://www.digital.archives.go.jp/api/iiif/4219693/manifest.json,005-0004,129
3745552,https://www.digital.archives.go.jp/api/iiif/3745552/manifest.json,121-0002,129
4500870,https://www.digital.archives.go.jp/api/iiif/4500870/manifest.json,188-0001,129
4487525,https://www.digital.archives.go.jp/api/iiif/4487525/manifest.json,188-0001,129
4435386,https://www.digital.archives.go.jp/api/iiif/4435386/manifest.json,194-0019,129
4253678,https://www.digital.archives.go.jp/api/iiif/4253678/manifest.json,300-0174,129
4916247,https://www.digital.archives.go.jp/api/iiif/4916247/manifest.json,303-0001,129
4918961,https://www.digital.archives.go.jp/api/iiif/4918961/manifest.json,305-0174,129
1082204,https://www.digital.archives.go.jp/api/iiif/1082204/manifest.json,309-0235,129
3976112,https://www.digital.archives.go.jp/api/iiif/3976112/manifest.json,366-0078,129
5389666,https://www.digital.archives.go.jp/api/iiif/5389666/manifest.json,367-0008,129
5390397,https://www.digital.archives.go.jp/api/iiif/5390397/manifest.json,367-0052,129
